symbol,buy_date,sell_date,buy_price,sell_price,pnl_pct,pnl_abs,sell_reason
GEV,2024-10-02,2024-10-07 00:00:00,251.35670471191406,261.5688171386719,4.0627969078693,541.2419586181641,macd_death_cross
VST,2024-10-01,2024-10-09 00:00:00,121.5194091796875,123.13571166992188,1.330077640391085,265.0736083984375,trailing_stop
CEG,2024-10-07,2024-10-10 00:00:00,276.2040710449219,260.09149169921875,-5.833577790778678,-402.8144836425781,macd_death_cross
APP,2024-10-02,2024-10-15 00:00:00,131.36000061035156,143.80999755859375,9.477768643722959,1257.449691772461,macd_death_cross
CIEN,2024-10-02,2024-10-16 00:00:00,66.0199966430664,66.56999969482422,0.8330855494152396,111.10061645507812,macd_death_cross
CVNA,2024-10-01,2024-10-18 00:00:00,175.8000030517578,191.30999755859375,8.822522319450469,1752.629379272461,macd_death_cross
PLTR,2024-10-03,2024-10-18 00:00:00,39.2400016784668,42.970001220703125,9.50560495078467,7.459999084472656,macd_death_cross
COHR,2024-10-09,2024-10-18 00:00:00,98.69000244140625,98.2300033569336,-0.4661050492381583,-47.379905700683594,macd_death_cross
VST,2024-10-09,2024-11-01 00:00:00,123.13571166992188,118.50498962402344,-3.760665352965654,-379.7192077636719,trailing_stop
APP,2024-10-15,2024-11-01 00:00:00,143.80999755859375,163.52999877929688,13.712538457326955,1991.7201232910156,macd_death_cross
GEV,2024-10-07,2024-11-04 00:00:00,261.5688171386719,294.3670349121094,12.539039680731277,852.753662109375,macd_death_cross
CEG,2024-10-14,2024-11-04 00:00:00,269.4417419433594,224.0390167236328,-16.85066496833697,-45.40272521972656,stop_loss
UAL,2024-10-18,2024-11-05 00:00:00,74.1500015258789,80.02999877929688,7.929868014049609,1258.3194122314453,macd_death_cross
SATS,2024-10-01,2024-11-12 00:00:00,24.09000015258789,22.760000228881836,-5.520962703535634,-1103.8999366760254,trailing_stop
CVNA,2024-11-01,2024-11-15 00:00:00,229.0800018310547,241.0,5.203421544293618,452.9599304199219,macd_death_cross
NCLH,2024-11-01,2024-11-15 00:00:00,24.8799991607666,26.420000076293945,6.18971449949154,540.5403213500977,macd_death_cross
GEV,2024-11-04,2024-11-15 00:00:00,294.3670349121094,328.5401611328125,11.609019410378735,307.5581359863281,macd_death_cross
CCL,2024-11-04,2024-11-22 00:00:00,21.809186935424805,24.785429000854492,13.646735544255243,363.1015319824219,macd_death_cross
UAL,2024-11-05,2024-11-22 00:00:00,80.02999877929688,95.23999786376953,19.005372131040644,3254.9398040771484,macd_death_cross
LITE,2024-10-17,2024-11-27 00:00:00,69.62000274658203,83.7699966430664,20.324609793525273,2730.9488220214844,macd_death_cross
RCL,2024-11-04,2024-11-27 00:00:00,200.26292419433594,236.74118041992188,18.215182052463835,474.2173309326172,macd_death_cross
TSLA,2024-11-12,2024-11-27 00:00:00,328.489990234375,332.8900146484375,1.339469860534599,83.6004638671875,macd_death_cross
TRGP,2024-11-13,2024-11-27 00:00:00,187.881103515625,196.04859924316406,4.34716188840131,16.334991455078125,macd_death_cross
TPL,2024-10-11,2024-12-02 00:00:00,349.90020751953125,496.4930725097656,41.89562104848184,2638.6715698242188,trailing_stop
PLTR,2024-10-18,2024-12-02 00:00:00,42.970001220703125,66.38999938964844,54.503135917206954,8641.97932434082,macd_death_cross
AXON,2024-11-12,2024-12-02 00:00:00,595.1799926757812,636.3900146484375,6.9239595550559825,412.1002197265625,macd_death_cross
IBKR,2024-11-22,2024-12-02 00:00:00,47.540077209472656,46.12666702270508,-2.9730919042048742,-231.7992706298828,macd_death_cross
VST,2024-11-19,2024-12-03 00:00:00,153.5576934814453,152.8635711669922,-0.4520270516677155,-0.694122314453125,macd_death_cross
TPL,2024-12-02,2024-12-04 00:00:00,496.4930725097656,459.2879638671875,-7.493580616242401,-1153.3583679199219,trailing_stop
